xyzDMxyzCountry,xyzDMxyzRequestYear,xyzDMxyzInterpolation,xyzDCxyzWelfareType,xyzDPxyzSI_MPM_EDUC,xyzDPxyzSI_MPM_EDUE,xyzDPxyzSI_MPM_ELEC,xyzDPxyzSI_MPM_IMPS,xyzDPxyzSI_MPM_IMPW,xyzDPxyzSI_MPM_POOR,xyzDPxyzSI_MPM_MDHC,survname,survey_coverage,comparable_spell
ECU,2011,FALSE,INC,.0694189,.0269144,.0293391,.0446734,.07672475,.046692,.0579746,ENEMDU,N,2007-2022
ECU,2012,FALSE,INC,.0677912,.0259711,.0290307,.0391672,.06666833,.0446314,.0551285,ENEMDU,N,2007-2022
ECU,2013,FALSE,INC,.0584203,.0238757,.0198291,.0393825,.05348556,.0324109,.0413324,ENEMDU,N,2007-2022
ECU,2014,FALSE,INC,.0466672,.0197054,.0096197,.0369456,.04284007,.0263561,.0322439,ENEMDU,N,2007-2022
ECU,2015,FALSE,INC,.0453295,.0172834,.0129366,.0357022,.03699141,.0344007,.0402405,ENEMDU,N,2007-2022
ECU,2016,FALSE,INC,.0411987,.0167266,.0124876,.0327774,.03588669,.0357503,.0420498,ENEMDU,N,2007-2022
ECU,2017,FALSE,INC,.0440084,.0202395,.0084296,.0357589,.03930899,.0321325,.0374026,ENEMDU,N,2007-2022
ECU,2018,FALSE,INC,.0378774,.0233159,.011665,.0309428,.04363378,.0331149,.038282,ENEMDU,N,2007-2022
ECU,2019,FALSE,INC,.0387778,.0286753,.0137167,.0360153,.04660689,.0358358,.0417845,ENEMDU,N,2007-2022
ECU,2020,FALSE,INC,.0375903,.0225078,.0281104,.0480553,.05790505,.0651925,.070696,ENEMDU,N,2007-2022
ECU,2021,FALSE,INC,.0296283,.0233982,.0161103,.0499795,.03688032,.0358318,.0425216,ENEMDU,N,2007-2022
ECU,2022,FALSE,INC,.0308208,.0174981,.0310319,.0631597,.05262059,.0318079,.0404004,ENEMDU,N,2007-2022
EGY,2010,FALSE,CONS,.1417585,.0824724,.0042874,,,.0103731,.0345262,HIECS,N,2010-2017
EGY,2012,FALSE,CONS,.1414519,.0715666,.0028232,.1142521,.01078383,.0089008,.0291022,HIECS,N,2010-2017
EGY,2015,FALSE,CONS,.1149034,.0632093,.007426,.0403927,.04387319,.0090603,.0262304,HIECS,N,2010-2017
EGY,2017,FALSE,CONS,.1064093,.0419824,.0054939,.0315751,.00760452,.0250485,.0345399,HIECS,N,2010-2017
EGY,2019,FALSE,CONS,.0988096,.0365228,.0015744,.0238988,.0026103,.0146701,.0228992,HIECS,N,2019
ESP,2008,FALSE,INC,.0212451,,0,.0000744,.00008571,.0096052,.0305494,EU-SILC,N,2003-2021
ESP,2009,FALSE,INC,.0205262,,0,0,.00001919,.0123834,.0323055,EU-SILC,N,2003-2021
ESP,2010,FALSE,INC,.0240661,,0,.0001062,.00016972,.0107812,.0343668,EU-SILC,N,2003-2021
ESP,2011,FALSE,INC,.0192514,,0,.0006939,.0006649,.0154812,.0345461,EU-SILC,N,2003-2021
ESP,2012,FALSE,INC,.0169065,,0,.000848,.00085233,.0134484,.0301295,EU-SILC,N,2003-2021
ESP,2013,FALSE,INC,.0401022,,0,.0012665,.00132615,.0155251,.0547896,EU-SILC,N,2003-2021
ESP,2014,FALSE,INC,.0430885,,0,.0007357,.00086689,.0129127,.0557764,EU-SILC,N,2003-2021
ESP,2015,FALSE,INC,.0400101,,0,.0030859,.00343632,.0110033,.0499139,EU-SILC,N,2003-2021
ESP,2016,FALSE,INC,.0345445,,0,.0009479,.00113573,.0133252,.0475165,EU-SILC,N,2003-2021
ESP,2017,FALSE,INC,.0335993,,0,.002047,.00161746,.0089483,.0421247,EU-SILC,N,2003-2021
ESP,2018,FALSE,INC,.0300704,,0,.0039902,.00264483,.0097566,.0391771,EU-SILC,N,2003-2021
ESP,2019,FALSE,INC,.0272235,,0,.0043717,.00242901,.0089514,.035629,EU-SILC,N,2003-2021
ESP,2020,FALSE,INC,.0319203,,0,,0,.0113124,.0421925,EU-SILC,N,2003-2021
ESP,2021,FALSE,INC,.0280566,,0,,0,.0072908,.0349293,EU-SILC,N,2003-2021
EST,2008,FALSE,INC,.0006778,,0,,0,.0050496,.0057274,EU-SILC,N,2003-2021
EST,2009,FALSE,INC,.000838,,0,,0,.0073477,.0081858,EU-SILC,N,2003-2021
EST,2010,FALSE,INC,.0004097,,0,.0961449,.10454104,.0095353,.009945,EU-SILC,N,2003-2021
EST,2011,FALSE,INC,.0006601,,0,.086314,.09504277,.0120998,.01276,EU-SILC,N,2003-2021
EST,2012,FALSE,INC,.0007272,,0,.0798302,.09150984,.0100296,.0106874,EU-SILC,N,2003-2021
EST,2013,FALSE,INC,.0006877,,0,.0723885,.08172883,.0109334,.0115372,EU-SILC,N,2003-2021
EST,2014,FALSE,INC,.0006804,,0,.0688473,.07315878,.0105041,.0111845,EU-SILC,N,2003-2021
EST,2015,FALSE,INC,.0005811,,0,.0687002,.07524483,.0084603,.0089852,EU-SILC,N,2003-2021
EST,2016,FALSE,INC,.0001527,,0,.0613062,.0701305,.0070253,.007178,EU-SILC,N,2003-2021
EST,2017,FALSE,INC,.0003307,,0,.0527906,.06582208,.0045442,.0048749,EU-SILC,N,2003-2021
EST,2018,FALSE,INC,.0000932,,0,.0473309,.05827462,.0050336,.0051268,EU-SILC,N,2003-2021
EST,2019,FALSE,INC,.0008024,,0,.0394915,.05163249,.0070524,.0078548,EU-SILC,N,2003-2021
EST,2020,FALSE,INC,.0002788,,0,,0,.0057321,.0060108,EU-SILC,N,2003-2021
EST,2021,FALSE,INC,.0005489,,0,,0,.0048971,.005446,EU-SILC,N,2003-2021
ETH,2010,FALSE,CONS,.7238917,.3798157,.8252793,.9556448,.50550396,.3075094,.8174623,HICES,N,1995-2015
ETH,2015,FALSE,CONS,.6669215,.3120176,.6413907,.958977,.42663593,.2694903,.7270462,HICES,N,1995-2015
FIN,2008,FALSE,INC,.0072506,,0,,0,.0006468,.007827,EU-SILC,N,2003-2021
FIN,2009,FALSE,INC,.0076858,,0,,0,.0007017,.0083875,EU-SILC,N,2003-2021
FIN,2010,FALSE,INC,.0072102,,0,.007358,.00840227,.0009349,.0081258,EU-SILC,N,2003-2021
FIN,2011,FALSE,INC,.0062122,,0,.0062372,.00735599,.0007566,.0069688,EU-SILC,N,2003-2021
FIN,2012,FALSE,INC,.0077739,,0,.0057686,.00676209,.0007818,.0085557,EU-SILC,N,2003-2021
FIN,2013,FALSE,INC,.007592,,0,.0061471,.00724028,.0008918,.0083438,EU-SILC,N,2003-2021
FIN,2014,FALSE,INC,.0090031,,0,.0052708,.00790016,.0006882,.0096913,EU-SILC,N,2003-2021
FIN,2015,FALSE,INC,.0088449,,0,.0050435,.00744232,.0007021,.0093741,EU-SILC,N,2003-2021
FIN,2016,FALSE,INC,.0135937,,0,.0044474,.00544176,.0005599,.0141536,EU-SILC,N,2003-2021
FIN,2017,FALSE,INC,.014877,,0,.003862,.00351166,.0007103,.0155873,EU-SILC,N,2003-2021
FIN,2018,FALSE,INC,.009843,,0,.003364,.00344308,.0007591,.0105118,EU-SILC,N,2003-2021
FIN,2019,FALSE,INC,.0093905,,0,.0032836,.00301717,.0004968,.0098736,EU-SILC,N,2003-2021
FIN,2020,FALSE,INC,.0132359,,0,,0,.0003678,.0136038,EU-SILC,N,2003-2021
FIN,2021,FALSE,INC,.0150218,,0,,0,.0003817,.015318,EU-SILC,N,2003-2021
FJI,2013,FALSE,CONS,.007732,.0143317,.099983,.0323079,.07814349,.0036355,.0059118,HIES,N,2002-2013
FJI,2019,FALSE,CONS,.006493,.0190718,.0452089,.0506945,.12006633,.0131827,.0160165,HIES,N,2019
FRA,2008,FALSE,INC,.0059307,,0,,0,.0005596,.0064903,EU-SILC,N,2003-2021
FRA,2009,FALSE,INC,.0051755,,0,,0,.0013366,.0065121,EU-SILC,N,2003-2021
FRA,2010,FALSE,INC,.0063274,,0,.0062939,.00560907,.0015221,.0078496,EU-SILC,N,2003-2021
FRA,2011,FALSE,INC,.0059979,,0,.0054487,.00486855,.0009214,.0069193,EU-SILC,N,2003-2021
FRA,2012,FALSE,INC,.0046254,,0,.0054216,.00534189,.0013661,.0059915,EU-SILC,N,2003-2021
FRA,2013,FALSE,INC,.0103966,,0,.0047285,.00526027,.0008853,.0112819,EU-SILC,N,2003-2021
FRA,2014,FALSE,INC,.0104283,,0,.0045239,.00536774,.000723,.0111513,EU-SILC,N,2003-2021
FRA,2015,FALSE,INC,.0106966,,0,.0057574,.00580831,.002128,.0128247,EU-SILC,N,2003-2021
FRA,2016,FALSE,INC,.0169059,,0,.0062309,.00614071,.0014829,.0183702,EU-SILC,N,2003-2021
FRA,2017,FALSE,INC,.014695,,0,.0050663,.00564535,.0010806,.0157518,EU-SILC,N,2003-2021
FRA,2018,FALSE,INC,.0161154,,0,.0047062,.00521597,.0006799,.0167953,EU-SILC,N,2003-2021
FRA,2019,FALSE,INC,.0059036,,0,.0065155,.00477711,.0028843,.0087879,EU-SILC,N,2003-2021
FRA,2020,FALSE,INC,.0092502,,0,,0,.0032552,.0125054,EU-SILC,N,2003-2021
FRA,2021,FALSE,INC,.013662,,0,,0,.0024115,.0160487,EU-SILC,N,2003-2021
FSM,2013,FALSE,CONS,.0560883,.1303952,.2363112,.4282068,.05221028,.1602844,.1996891,HIES,N,2013
GAB,2017,FALSE,CONS,.1134805,.0790084,.085717,.6816132,.11506036,.0246887,.0836343,EGEP,N,2017
GEO,2010,FALSE,CONS,.0241804,.0314078,0,.0808973,.04926139,.1437787,.1451586,HIS,N,1998-2021
GEO,2011,FALSE,CONS,.0046885,.0230071,.0001021,.0631343,.05158307,.1340154,.1343319,HIS,N,1998-2021
GEO,2012,FALSE,CONS,.0037444,,0,.0639879,.05572346,.1066622,.1100119,HIS,N,1998-2021
GEO,2013,FALSE,CONS,.0018471,.0094932,0,.0641537,.06420749,.0807872,.0810329,HIS,N,1998-2021
GEO,2014,FALSE,CONS,.0019504,.009153,0,.0568238,.06421988,.0612704,.0612704,HIS,N,1998-2021
GEO,2015,FALSE,CONS,.0008595,.0088644,0,.067151,.06027005,.0487949,.0489266,HIS,N,1998-2021
GEO,2016,FALSE,CONS,.0005346,.0100427,0,.0669545,.06657855,.0491337,.0495834,HIS,N,1998-2021
GEO,2017,FALSE,CONS,.0010217,.0089077,0,.0885996,.08463933,.0622987,.062576,HIS,N,1998-2021
GEO,2018,FALSE,CONS,.0003372,.0113114,0,.0895221,.08648965,.0555908,.0559895,HIS,N,1998-2021
GEO,2019,FALSE,CONS,.0003692,.0073804,0,.10004,.06957441,.0484863,.0484863,HIS,N,1998-2021
GEO,2020,FALSE,CONS,.0008323,.011797,0,.0953712,.0570186,.0580687,.0582521,HIS,N,1998-2021
GEO,2021,FALSE,CONS,.0002434,.0114213,0,.0891728,.05356134,.0548503,.0549365,HIS,N,1998-2021
GHA,2012,FALSE,CONS,.1707998,.0856232,.3355024,.4309583,.13649597,.2568997,.3319044,GLSS-VI,N,1991-2016
GHA,2016,FALSE,CONS,.1508409,.0901443,.1948613,.7990059,.40798169,.2520855,.3277386,GLSS-VII,N,1991-2016
GIN,2012,FALSE,CONS,.5373248,.4555881,.7489368,.6565675,.3124659,.2454415,.6447789,ELEP,N,2007-2012
GIN,2018,FALSE,CONS,.6126927,.2499203,.563773,.7114408,.20953956,.138201,.5169757,EHCVM,N,2018
GMB,2015,FALSE,CONS,.2989102,.0614991,.079665,.5820759,.08216503,.1338207,.1834154,IHS,N,2015-2020
GNB,2010,FALSE,CONS,.4393637,.4346387,.9390085,.6576735,.36354778,.6668512,.8156247,ILAP-II,N,2010
GNB,2018,FALSE,CONS,.4101345,.3012317,.4214778,.6304652,.21616035,.2166049,.4612686,EHCVM,N,2018-2021
GNB,2021,FALSE,CONS,1,0,.2758675,.6036286,.20897064,.2596286,.4729967,EHCVM,N,2018-2021
GRC,2008,FALSE,INC,.0282056,,0,,0,.0087899,.0368261,EU-SILC,N,2003-2021
GRC,2009,FALSE,INC,.0274114,,0,,0,.0088108,.0358749,EU-SILC,N,2003-2021
GRC,2010,FALSE,INC,.0229007,,0,.0089603,.01314676,.0147013,.037602,EU-SILC,N,2003-2021
GRC,2011,FALSE,INC,.0233928,,0,.0051505,.00700224,.0222844,.0456772,EU-SILC,N,2003-2021
GRC,2012,FALSE,INC,.025608,,0,.00656,.00920566,.0208653,.0464335,EU-SILC,N,2003-2021
GRC,2013,FALSE,INC,.0262191,,0,.0048367,.0073022,.0107214,.0366752,EU-SILC,N,2003-2021
GRC,2014,FALSE,INC,.0224013,,0,.0046195,.00470709,.0210694,.0432286,EU-SILC,N,2003-2021
GRC,2015,FALSE,INC,.0224451,,0,.0039572,.00448477,.018712,.0409598,EU-SILC,N,2003-2021
GRC,2016,FALSE,INC,.0217565,,0,.003113,.00529675,.0163847,.0375349,EU-SILC,N,2003-2021
GRC,2017,FALSE,INC,.0171042,,0,.0028546,.00536112,.0119668,.0289566,EU-SILC,N,2003-2021
GRC,2018,FALSE,INC,.017554,,0,.0029324,.00448902,.0069409,.0243824,EU-SILC,N,2003-2021
GRC,2019,FALSE,INC,.020168,,0,.0026475,.00132991,.0102318,.0301853,EU-SILC,N,2003-2021
GRC,2020,FALSE,INC,.0178099,,0,,0,.01842,.0359333,EU-SILC,N,2003-2021
GRC,2021,FALSE,INC,.0167915,,0,,0,.0103634,.0268261,EU-SILC,N,2003-2021
GRD,2018,FALSE,CONS,.0254232,.0019915,.0754291,.1076406,.02018873,.003179,.0071985,SLCHB,N,2018
GTM,2014,FALSE,INC,.2483111,.1833356,.1653155,.467094,.08436536,.095213,.2221998,ENCOVI,N,2000-2014
HND,2010,FALSE,INC,.1623971,.1272924,.2101842,.1059752,.09274737,.138022,.1899418,EPHPM,N,2001-2010
HND,2011,FALSE,INC,.1441956,.1368137,.1943239,.1060527,.0827963,.1432309,.2003369,EPHPM,N,2011-2019
HND,2012,FALSE,INC,.1504211,.1324148,.1789925,.1137322,.08736352,.169927,.2188069,EPHPM,N,2011-2019
HND,2013,FALSE,INC,.1398782,.1636556,.1361977,.0970239,.08932514,.145685,.1913214,EPHPM,N,2011-2019
HND,2014,FALSE,INC,.1351091,.1431706,.1390644,.1107808,.0988095,.1328218,.1871612,EPHPM,N,2011-2019
HND,2015,FALSE,INC,.123907,.1189348,.1239945,.1108377,.08946021,.1297755,.1709462,EPHPM,N,2011-2019
HND,2016,FALSE,INC,.1152546,.102707,.1027714,.0919246,.08383402,.1460698,.1781903,EPHPM,N,2011-2019
HND,2017,FALSE,INC,.1180275,.1055059,.092934,.0949092,.08710232,.1385552,.1686332,EPHPM,N,2011-2019
HND,2018,FALSE,INC,.122087,.1214404,.0843315,.074007,.07975093,.1423357,.1703924,EPHPM,N,2011-2019
HND,2019,FALSE,INC,.1012588,.099755,.067448,.0581014,.05680016,.1264766,.1478246,EPHPM,N,2011-2019
HRV,2009,FALSE,INC,.00543,,0,,0,.008701,.0139763,EU-SILC,N,2009-2021
HRV,2010,FALSE,INC,.003933,,0,.017391,.01467435,.0124242,.0162202,EU-SILC,N,2009-2021
HRV,2011,FALSE,INC,.0026141,,0,.0247215,.02153697,.0070352,.0094834,EU-SILC,N,2009-2021
HRV,2012,FALSE,INC,.0025813,,0,.0172772,.01806158,.0082872,.0107258,EU-SILC,N,2009-2021
HRV,2013,FALSE,INC,.0026054,,0,.0196227,.01873726,.0077235,.0103054,EU-SILC,N,2009-2021
HRV,2014,FALSE,INC,.0023851,,0,.0193795,.01705796,.0100135,.0122896,EU-SILC,N,2009-2021
HRV,2015,FALSE,INC,.0021145,,0,.0173627,.01635168,.0064282,.0085155,EU-SILC,N,2009-2021
HRV,2016,FALSE,INC,.0028774,,0,.0163092,.01439141,.006722,.0095994,EU-SILC,N,2009-2021
HRV,2017,FALSE,INC,.0027271,,0,.0131211,.01221215,.0054477,.008054,EU-SILC,N,2009-2021
HRV,2018,FALSE,INC,.0025033,,0,.0114949,.00935218,.0046269,.0070261,EU-SILC,N,2009-2021
HRV,2019,FALSE,INC,.0026096,,0,.0141397,.00855123,.0029323,.0055419,EU-SILC,N,2009-2021
HRV,2020,FALSE,INC,.0014613,,0,,0,.0033399,.0048012,EU-SILC,N,2009-2021
HRV,2021,FALSE,INC,.0014539,,0,,0,.0034966,.0049505,EU-SILC,N,2009-2021
HTI,2012,FALSE,CONS,.2318354,.09,.643115,.6879549,.33499055,.2919219,.4684352,ECVMAS,N,2012
HUN,2008,FALSE,INC,0,,0,.0710822,.04214118,.0003522,.0003522,EU-SILC,N,2004-2021
HUN,2009,FALSE,INC,.0001268,,0,,0,.0007643,.0008911,EU-SILC,N,2004-2021
HUN,2010,FALSE,INC,.0003771,,0,.0500671,.04276773,.0012282,.0016053,EU-SILC,N,2004-2021
HUN,2011,FALSE,INC,.0000732,,0,.0520171,.04430295,.0010842,.0011574,EU-SILC,N,2004-2021
HUN,2012,FALSE,INC,.0001346,,0,.0525076,.04289735,.0036741,.0038088,EU-SILC,N,2004-2021
HUN,2013,FALSE,INC,.0000608,,0,.0532501,.04283246,.001803,.0018638,EU-SILC,N,2004-2021
HUN,2014,FALSE,INC,.0004494,,0,.0393888,.03646012,.0069423,.0073546,EU-SILC,N,2004-2021
HUN,2015,FALSE,INC,.0007701,,0,.0431806,.04096457,.0092763,.0100464,EU-SILC,N,2004-2021
HUN,2016,FALSE,INC,.0002573,,0,.0389793,.03522541,.0213971,.0216544,EU-SILC,N,2004-2021
HUN,2017,FALSE,INC,.0003626,,0,.0382011,.03557678,.0068059,.0071685,EU-SILC,N,2004-2021
HUN,2018,FALSE,INC,.000277,,0,.0302265,.02776981,.0039329,.0042099,EU-SILC,N,2004-2021
HUN,2019,FALSE,INC,.0004551,,0,.0156405,.01554604,.0034447,.0038998,EU-SILC,N,2004-2021
HUN,2020,FALSE,INC,.0000416,,0,,0,.0049656,.0050072,EU-SILC,N,2004-2021
HUN,2021,FALSE,INC,.0002955,,0,,0,.0060802,.0063758,EU-SILC,N,2004-2021
IDN,2015,FALSE,CONS,.0591419,.0186074,.0245914,.2860991,.10319454,.0838156,.1020356,SUSENAS,N,2015-2023
IDN,2016,FALSE,CONS,.0498582,.0173745,.0238411,.2701522,.10677769,.0761349,.0923296,SUSENAS,N,2015-2023
IDN,2017,FALSE,CONS,.0432832,.0168341,.0185993,.2470706,.09275551,.0667326,.0795419,SUSENAS,N,2015-2023
IDN,2018,FALSE,CONS,.0495755,.0157309,.0151199,.2085484,.08886416,.0544402,.0667902,SUSENAS,N,2015-2023
IDN,2019,FALSE,CONS,.0426835,.0114927,.0113445,.0816444,.07971335,.0438339,.051196,SUSENAS,N,2015-2023
IDN,2020,FALSE,CONS,.0369078,.0141433,.0101309,.1404594,.07378456,.0384678,.045657,SUSENAS,N,2015-2023
IDN,2021,FALSE,CONS,.0382179,.0124424,.0076112,.115564,.06501777,.0355619,.0414106,SUSENAS,N,2015-2023
IDN,2022,FALSE,CONS,.0298129,.0133156,.005987,.1152951,.05987979,.0247832,.0297989,SUSENAS,N,2015-2023
IDN,2023,FALSE,CONS,.0285481,.0127677,.0059636,.1172731,.05528788,.0188431,.0228916,SUSENAS,N,2015-2023
IRL,2008,FALSE,INC,.0184621,,0,.0028012,.00598744,.0018466,.0198843,EU-SILC,N,2003-2021
IRL,2009,FALSE,INC,.0165468,,0,.0023903,.00905012,.0071212,.0234428,EU-SILC,N,2003-2021
IRL,2010,FALSE,INC,.0206856,,0,.0435807,.05497797,.0054276,.0261132,EU-SILC,N,2003-2021
IRL,2012,FALSE,INC,.0139645,,0,.021438,.01615764,.0035901,.0168714,EU-SILC,N,2003-2021
IRL,2013,FALSE,INC,.0075575,,0,.0012133,.00308835,.0071265,.014651,EU-SILC,N,2003-2021
IRL,2014,FALSE,INC,.0064679,,0,.0011936,.0023191,.0043823,.0104553,EU-SILC,N,2003-2021
IRL,2015,FALSE,INC,.0075858,,0,.0021127,.00283507,.0036763,.0112621,EU-SILC,N,2003-2021
IRL,2016,FALSE,INC,.0062337,,0,.0011016,.00159429,.0013473,.0075318,EU-SILC,N,2003-2021
IRL,2017,FALSE,INC,.0037876,,0,.0034313,.00055003,.002432,.0061617,EU-SILC,N,2003-2021
IRL,2018,FALSE,INC,.0068606,,0,.0018203,.00214791,.0000392,.0068999,EU-SILC,N,2003-2021
IRL,2019,FALSE,INC,.0031996,,0,.002105,.00137113,.0005801,.0037797,EU-SILC,N,2003-2021
IRL,2020,FALSE,INC,.0028732,,0,,,.0014431,.0042317,EU-SILC,N,2003-2021
IRL,2021,FALSE,INC,.157945,,0,,,.0031767,.1605636,EU-SILC,N,2003-2021
IRN,2011,FALSE,CONS,,.0164961,.0011947,.0590766,.02401531,.0050417,.0218546,HEIS,N,2005-2022
IRN,2012,FALSE,CONS,,.0133091,.0007424,.0469329,.01779245,.0025401,.0162569,HEIS,N,2005-2022
IRN,2013,FALSE,CONS,,.0137823,.0011531,.0416131,.02438489,.002881,.0169636,HEIS,N,2005-2022
IRN,2014,FALSE,CONS,.0435033,.0122367,.0003351,.0349706,.01982258,.0061637,.008584,HEIS,N,2005-2022
IRN,2015,FALSE,CONS,.0543475,.0097418,.0002674,,,.0074427,.0086188,HEIS,N,2005-2022
IRN,2016,FALSE,CONS,.0553057,.0102512,.0002717,.0238879,.01627115,.0069329,.0092129,HEIS,N,2005-2022
IRN,2017,FALSE,CONS,.0441654,.0096539,.0002988,.0198942,.01564965,.0032945,.0050649,HEIS,N,2005-2022
IRN,2018,FALSE,CONS,.0426282,.0096635,.0003476,.0221909,.01789446,.0067121,.0082789,HEIS,N,2005-2022
IRN,2019,FALSE,CONS,.0413795,.0079152,.0001324,.0194846,.01565102,.0072634,.0082824,HEIS,N,2005-2022
IRN,2020,FALSE,CONS,.0394354,.00823,.0002552,.0165255,.01364418,.0081144,.0092421,HEIS,N,2005-2022
IRN,2021,FALSE,CONS,.0401939,.0080588,.0000949,.0124686,.01244237,.0065238,.0077602,HEIS,N,2005-2022
IRN,2022,FALSE,CONS,.0418022,.0079314,.0000593,.012742,.0128033,.0046845,.0054058,HEIS,N,2005-2022
IRQ,2012,FALSE,CONS,.1355329,.2269003,.0006188,.0094578,.1001088,.0008875,.0554435,IHSES,N,2006-2012
ISL,2008,FALSE,INC,.0003562,,0,.0031703,.00054091,.0018615,.0022177,EU-SILC,N,2003-2017
ISL,2009,FALSE,INC,.0005297,,0,.0042871,.00056852,.0019321,.0024617,EU-SILC,N,2003-2017
ISL,2010,FALSE,INC,.0002961,,0,0,.00056155,.0038892,.0041853,EU-SILC,N,2003-2017
ISL,2011,FALSE,INC,0,,0,0,.00071566,.003163,.003163,EU-SILC,N,2003-2017
ISL,2012,FALSE,INC,.0009852,,0,0,.00131852,.0020356,.0030208,EU-SILC,N,2003-2017
ISL,2013,FALSE,INC,.0006352,,0,0,.00076327,.0027368,.003372,EU-SILC,N,2003-2017
ISL,2014,FALSE,INC,.001746,,0,0,.00071355,.0009121,.0026581,EU-SILC,N,2003-2017
ISL,2015,FALSE,INC,.0003575,,0,0,.00235108,.0012611,.0016185,EU-SILC,N,2003-2017
ISL,2016,FALSE,INC,.0003737,,0,0,0,.0028091,.0031828,EU-SILC,N,2003-2017
ISL,2017,FALSE,INC,0,,0,0,.00223037,.0019693,.0019693,EU-SILC,N,2003-2017
ISR,2010,FALSE,INC,.0134911,,0,0,,.0031421,.0166332,HES-LIS,N,1979-2021
ISR,2011,FALSE,INC,.0113345,,0,0,,.0023274,.0136619,HES-LIS,N,1979-2021
ISR,2012,FALSE,INC,.0110676,.0027746,0,0,,.0058411,.0058411,HES-LIS,N,1979-2021
ISR,2013,FALSE,INC,.0082864,.0010458,0,0,,.004087,.004087,HES-LIS,N,1979-2021
ISR,2014,FALSE,INC,.0089536,.00038,0,0,,.00436,.00436,HES-LIS,N,1979-2021
ISR,2015,FALSE,INC,.0080608,.00196,0,0,,.0038862,.0038862,HES-LIS,N,1979-2021
ISR,2016,FALSE,INC,.0070468,.000635,0,0,,.0015906,.0015906,HES-LIS,N,1979-2021
ISR,2017,FALSE,INC,.0073789,,0,0,,.0045733,.0117751,HES-LIS,N,1979-2021
ISR,2018,FALSE,INC,.0065291,,0,0,,.0040713,.0106004,HES-LIS,N,1979-2021
ISR,2019,FALSE,INC,.0051864,.0033095,0,0,,.0062792,.0062792,HES-LIS,N,1979-2021
ISR,2020,FALSE,INC,.004276,.0073099,0,0,,.0054621,.0054621,HES-LIS,N,1979-2021
ISR,2021,FALSE,INC,.0056053,.0053606,0,0,,.0034777,.0034777,HES-LIS,N,1979-2021
ITA,2008,FALSE,INC,.0163666,,0,,0,.0085356,.0248433,EU-SILC,N,2003-2021
ITA,2009,FALSE,INC,.0164541,,0,,0,.0115016,.0278373,EU-SILC,N,2003-2021
ITA,2010,FALSE,INC,.0206109,,0,.0044315,.00507353,.0140561,.0344118,EU-SILC,N,2003-2021
ITA,2011,FALSE,INC,.0160451,,0,.0055873,.00540021,.0124418,.0284228,EU-SILC,N,2003-2021
ITA,2012,FALSE,INC,.0126507,,0,.0113253,.00603529,.0151165,.0276656,EU-SILC,N,2003-2021
ITA,2013,FALSE,INC,.0129142,,0,.00761,.00369871,.0154551,.0281321,EU-SILC,N,2003-2021
ITA,2014,FALSE,INC,.010928,,0,.006302,.00403606,.015908,.0266538,EU-SILC,N,2003-2021
ITA,2015,FALSE,INC,.0155736,,0,.0041986,.00380987,.0234066,.038479,EU-SILC,N,2003-2021
ITA,2016,FALSE,INC,.0139435,,0,.0064141,.0059978,.0174033,.0310226,EU-SILC,N,2003-2021
ITA,2017,FALSE,INC,.0133189,,0,.0057726,.00480782,.0156983,.0287714,EU-SILC,N,2003-2021
ITA,2018,FALSE,INC,.0132308,,0,.0078338,.0074867,.015949,.0285207,EU-SILC,N,2003-2021
ITA,2019,FALSE,INC,.0140302,,0,.0069286,.00748334,.0112756,.0248787,EU-SILC,N,2003-2021
ITA,2020,FALSE,INC,.0147863,,0,,0,.0096796,.0236221,EU-SILC,N,2003-2021
ITA,2021,FALSE,INC,.0161342,,0,,0,.0093007,.0247836,EU-SILC,N,2003-2021
JAM,2018,FALSE,CONS,.0168732,.0032222,.0267008,.1231397,.0539901,.0004321,.0032893,JSLC,N,2018-2021
JAM,2021,FALSE,CONS,.015592,.0076616,.0276847,.0884915,.04884356,.0009759,.0071538,JSLC,N,2018-2021
JOR,2010,FALSE,CONS,.0182536,.0298791,0,0,.00241221,.0004085,.0025474,HEIS,N,2008-2010
JPN,2010,FALSE,INC,.0870935,.001612,0,0,,.0011597,.0011597,JHPS-LIS,N,2008-2013
JPN,2013,FALSE,INC,.0882682,.004703,0,0,,.0068736,.0080507,JHPS-LIS,N,2008-2013
KAZ,2011,FALSE,CONS,.0001711,,0,,,.0007109,.000882,HBS,N,2005-2021
KAZ,2012,FALSE,CONS,.0000665,,0,,,.0003842,.0004507,HBS,N,2005-2021
KAZ,2013,FALSE,CONS,0,,0,.0000926,.00375916,.0003311,.0003311,HBS,N,2005-2021
KAZ,2014,FALSE,CONS,0,,0,,,.0001928,.0001928,HBS,N,2005-2021
KAZ,2015,FALSE,CONS,0,,0,,,.0003827,.0003827,HBS,N,2005-2021
KAZ,2016,FALSE,CONS,.0000467,,0,,,.0005053,.000552,HBS,N,2005-2021
KAZ,2017,FALSE,CONS,0,,0,0,.01364739,.000415,.000415,HBS,N,2005-2021
KAZ,2018,FALSE,CONS,.0000396,,0,.0054343,.00724184,.0001514,.000191,HBS,N,2005-2021
KEN,2015,FALSE,CONS,.2252411,.0613641,.5694579,.6896279,.32194633,.293651,.4540192,IHBS,N,2005-2021
KGZ,2010,FALSE,CONS,.0011397,,.0029729,,,.0352142,.0391424,KIHS,N,2004-2021
